"","range","row","year_site.UID","plot_grouped_global","UID","year","value","time_since_sowing","genotype.id","date","plot_grouped","Filename","Location","platform","avg_Temperature_56","avg_Temperature_28","avg_precipitation_56","avg_precipitation_28","avg_radiation_28","avg_photothermal_28","avg_vpd_28","avg_humidity_28","avg_Temperature_14","avg_precipitation_14","avg_radiation_14","avg_photothermal_14","avg_humidity_14","avg_vpd_14","Row_per_plot"
"3234",2,5,"DSSB004","DSSB004_1_1","DSSB0040016","2020",0.265904308808877,58,"10097",2020-06-24,"56",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3235",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.885848427562133,101,"10110",2020-08-06,"71",NA,"Delley","UAV",1099.1,570.295833333333,148.6,71.4,6626.25,155566.804166667,23.3285163279751,1978.875,294.3125,24.6,3205.375,78182.6958333333,1006.16666666667,12.13546488078,3
"3236",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.803122198938612,93,"10110",2020-07-29,"71",NA,"Delley","UAV",1047.94166666667,568.158333333333,187,50.8,7213.75,166771.491666667,25.2512245811662,1873.16666666667,292.758333333333,30.8,3436.08333333334,81881.1958333334,978.708333333334,12.2091186288489,3
"3237",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.0954534173657362,46,"10110",2020-06-12,"71",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3238",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.820234134088146,84,"10110",2020-07-20,"71",NA,"Delley","UAV",998.966666666667,561.791666666667,163,40.6,7446.375,170800.783333333,25.0655384130814,1860.20833333333,272.358333333333,21.2,3640.5,81876.1583333333,902.791666666668,12.9548773392497,3
"3239",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.820829817095486,78,"10110",2020-07-14,"71",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3240",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.1247668376376,52,"10110",2020-06-18,"71",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3241",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.265536083414717,58,"10110",2020-06-24,"71",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3242",2,5,"DSSB005","DSSB005_1_1","DSSB0050012","2020",0.584350068768613,72,"10110",2020-07-08,"71",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3243",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.919930410428732,101,"10007",2020-08-06,"92",NA,"Delley","UAV",1099.1,570.295833333333,148.6,71.4,6626.25,155566.804166667,23.3285163279751,1978.875,294.3125,24.6,3205.375,78182.6958333333,1006.16666666667,12.13546488078,3
"3244",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.155334480865919,46,"10007",2020-06-12,"92",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3245",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.824551835365833,93,"10007",2020-07-29,"92",NA,"Delley","UAV",1047.94166666667,568.158333333333,187,50.8,7213.75,166771.491666667,25.2512245811662,1873.16666666667,292.758333333333,30.8,3436.08333333334,81881.1958333334,978.708333333334,12.2091186288489,3
"3246",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.876622484284973,78,"10007",2020-07-14,"92",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3247",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.225505127429966,52,"10007",2020-06-18,"92",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3248",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.8366157845759,84,"10007",2020-07-20,"92",NA,"Delley","UAV",998.966666666667,561.791666666667,163,40.6,7446.375,170800.783333333,25.0655384130814,1860.20833333333,272.358333333333,21.2,3640.5,81876.1583333333,902.791666666668,12.9548773392497,3
"3249",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.816498918313956,72,"10007",2020-07-08,"92",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3250",2,5,"DSSB006","DSSB006_1_1","DSSB0060032","2020",0.485410084732945,58,"10007",2020-06-24,"92",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3251",2,5,"DSSB007","DSSB007_1_1","DSSB0070020","2020",0.86683116825047,78,"10016",2020-07-14,"127",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3252",2,5,"DSSB007","DSSB007_1_1","DSSB0070020","2020",0.170559798768464,52,"10016",2020-06-18,"127",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
"3253",2,5,"DSSB007","DSSB007_1_1","DSSB0070020","2020",0.389508029373908,58,"10016",2020-06-24,"127",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3254",2,5,"DSSB007","DSSB007_1_1","DSSB0070020","2020",0.101850646349062,46,"10016",2020-06-12,"127",NA,"Delley","UAV",806.420833333333,439.045833333333,168.4,69.8,6944.5,129246.379166667,18.2363765790049,1932.58333333333,209.7125,64.8,2870.79166666667,51572.0083333333,1081.08333333333,6.51919545171814,3
"3255",2,5,"DSSB007","DSSB007_1_1","DSSB0070020","2020",0.685410485661638,72,"10016",2020-07-08,"127",NA,"Delley","UAV",949.641666666667,522.066666666667,147.8,95.4,7204.45833333333,155010.670833333,18.6478436338493,2079.79166666667,283.425,19.4,3800.66666666666,87128.575,954.958333333334,11.8622956440518,3
"3256",2,5,"DSSB008","DSSB008_1_1","DSSB0080020","2020",0.554067645408616,58,"10126",2020-06-24,"152",NA,"Delley","UAV",845.266666666667,448.216666666667,204.8,122.4,6426.875,122206.6375,14.4421660891128,2144.33333333333,238.641666666667,76,3403.79166666667,67882.0958333333,1124.83333333333,6.78554798979749,3
"3257",2,5,"DSSB008","DSSB008_1_1","DSSB0080020","2020",0.879029231357358,78,"10126",2020-07-14,"152",NA,"Delley","UAV",987.1,547.441666666667,165.4,72.2,7669.45833333333,171472.570833333,23.0401799991349,1933.875,279.75,18.6,3959.45833333333,90064.35,892.666666666666,13.3739174598931,3
"3258",2,5,"DSSB008","DSSB008_1_1","DSSB0080020","2020",0.265150368346641,52,"10126",2020-06-18,"152",NA,"Delley","UAV",813.616666666667,430.475,222,124.8,6326.20833333333,115021.804166667,14.3264316997425,2105.25,205.975,97.6,2521.79166666666,43753.45,1221.83333333333,3.61129164430783,3
